national_id;nombre;fecha_nacimiento;id_equipo;posicion;ciudad_id;estatura;peso;
41735761;Lionel Clayton;2000-05-15;2;DELANTERO;49;1.78;76.67;
29449349;Audra George;1989-08-16;3;ARQUERO;54;2.03;86.91;
29504102;Jonah Cardenas;1994-12-10;3;ARQUERO;38;1.77;81.54;
38528452;Rhona Robbins;1997-02-26;3;DEFENSOR;71;2.02;84.01;
24132961;Grady Chambers;2003-09-30;3;DEFENSOR;23;1.78;75.49;
37490273;Ryder Wolf;2000-08-20;3;DEFENSOR;9;2.03;76.9;
24585812;Gillian Farley;1992-12-04;3;DEFENSOR;19;1.78;98.78;
35266899;Sebastian Cline;1996-04-28;3;MEDIOCAMPISTA;64;2.03;94.62;
28751865;Dane Hardy;1996-02-05;3;MEDIOCAMPISTA;18;1.79;88.25;
31148392;Zachery Donovan;1993-08-02;3;MEDIOCAMPISTA;3;2.04;96.36;
26530535;Garrison Garrett;1995-07-25;3;MEDIOCAMPISTA;10;1.78;81.92;
35972499;Mercedes Vaughan;2001-02-24;3;MEDIOCAMPISTA;24;2.03;88.84;
30297247;Chantale Watts;2002-06-10;3;DELANTERO;30;1.79;92.74;
40225176;Ryan Burch;1991-06-05;3;DELANTERO;44;2.04;93.13;
37380067;Jakeem Greene;1984-07-20;3;DELANTERO;78;1.79;76.49;
35323437;Palmer Lamb;1988-11-21;3;DELANTERO;2;2.04;82.83;
27340156;Dylan Robertson;2001-07-18;3;DELANTERO;1;1.80;90.65;
33175337;Xantha Sims;1994-07-03;3;DELANTERO;62;2.05;80.84;
32192323;Cedric Jimenez;1997-01-13;3;DELANTERO;49;1.79;88.07;
28664296;Cody Smith;1998-02-19;4;ARQUERO;55;2.04;92.21;
26579508;Leonard Wright;1993-05-22;4;ARQUERO;15;1.78;93.79;
28148587;Jonas Bowen;1994-04-18;4;DEFENSOR;66;2.03;92.28;
34047547;Lev Stevens;1994-05-08;4;DEFENSOR;58;1.79;94.08;
37649202;Bruno Barton;1999-09-01;4;DEFENSOR;54;2.04;82.8;
28875143;Daniel Maldonado;1997-12-08;4;DEFENSOR;62;1.79;98.82;
41665491;Felicia Mosley;1994-04-18;4;MEDIOCAMPISTA;20;2.04;92.23;
41448375;Chadwick Wilson;2001-07-28;4;MEDIOCAMPISTA;69;1.80;78.0;
34090955;Regan Wright;1994-11-17;4;MEDIOCAMPISTA;71;2.05;86.18;
34471259;Heidi Brooks;1995-12-15;4;MEDIOCAMPISTA;42;1.79;80.16;
24455952;Nita Horton;2003-08-28;4;MEDIOCAMPISTA;34;2.04;86.94;
39870762;Ian Aguirre;1986-07-13;4;DELANTERO;26;1.80;95.03;
30386953;Ulric Jimenez;1996-01-05;4;DELANTERO;44;2.05;99.33;
25843578;Flynn Lyons;2004-03-15;4;DELANTERO;33;1.80;81.43;
30208136;Whitney Kirby;1992-06-28;4;DELANTERO;43;2.05;87.63;
28835080;Justine Vega;1984-08-07;4;DELANTERO;10;1.81;89.48;
28498034;Imani Ortega;1988-04-24;4;DELANTERO;49;2.06;82.76;
40982851;Reuben Le;1985-03-29;4;DELANTERO;8;1.80;78.29;
33258085;Alec Lara;1986-05-22;5;ARQUERO;8;2.05;79.37;
35488111;Adam Bailey;1995-08-04;5;ARQUERO;41;1.79;81.59;
31722493;Marah Mcguire;1990-03-02;5;DEFENSOR;48;2.04;88.89;
32791142;Fatima Cardenas;1993-06-21;5;DEFENSOR;12;1.80;94.3;
40181046;McKenzie Villarreal;2002-01-21;5;DEFENSOR;17;2.05;77.28;
27510683;Janna Mccullough;1984-10-27;5;DEFENSOR;60;1.80;78.76;
27809933;Maxine Knapp;2002-07-08;5;MEDIOCAMPISTA;8;2.05;80.31;
33469233;Nina Pugh;2003-08-13;5;MEDIOCAMPISTA;9;1.81;87.24;
31588899;Logan Neal;1995-02-04;5;MEDIOCAMPISTA;3;2.06;78.28;
28496483;Simon Sanchez;1998-07-04;5;MEDIOCAMPISTA;51;1.80;75.81;
27000508;Channing Watson;2002-08-26;5;MEDIOCAMPISTA;55;2.05;86.93;
41361844;Leah Reed;1992-11-28;5;DELANTERO;8;1.81;87.82;
33399926;Fredericka Cardenas;2001-01-08;5;DELANTERO;68;2.06;86.23;
23723604;Rose Martin;1989-01-09;5;DELANTERO;18;1.81;84.55;
24301824;Steven Clements;2002-11-24;5;DELANTERO;51;2.06;85.76;
31752883;Cheryl Barber;1991-02-26;5;DELANTERO;52;1.82;97.98;
36672365;Rogan Lambert;2003-07-09;5;DELANTERO;15;2.07;91.66;
37511027;Sade Rios;1993-11-05;5;DELANTERO;78;1.81;77.13;
35669386;Iliana Hobbs;2001-01-01;6;ARQUERO;26;2.06;83.31;
30340086;Quin Woodard;1996-09-11;6;ARQUERO;9;1.80;80.12;
36944589;Odysseus Wiggins;1994-01-11;6;DEFENSOR;16;2.05;92.94;
28857391;Nadine Giles;1991-11-15;6;DEFENSOR;3;1.81;86.3;
31933816;Laith Joyce;1990-08-01;6;DEFENSOR;60;2.06;77.04;
40947093;Hermione Kemp;2003-06-20;6;DEFENSOR;70;1.81;88.21;
40746438;Wang Ruiz;2003-05-22;6;MEDIOCAMPISTA;11;2.06;86.89;
38996174;Zoe Cash;1984-10-05;6;MEDIOCAMPISTA;78;1.82;90.61;
41755103;Asher Day;2000-08-11;6;MEDIOCAMPISTA;45;2.07;83.57;
23407982;Elmo Sosa;1988-09-09;6;MEDIOCAMPISTA;16;1.81;94.4;
31313357;Kieran Perez;1986-04-07;6;MEDIOCAMPISTA;45;2.06;80.7;
33491020;Axel Sawyer;1989-05-31;6;DELANTERO;51;1.82;77.05;
38907553;Kevyn Trujillo;2003-12-26;6;DELANTERO;15;2.07;98.03;
35831567;Jordan Pena;1988-05-08;6;DELANTERO;39;1.82;78.42;
41920292;April Cruz;2002-10-13;6;DELANTERO;28;2.07;79.67;
28796770;Iola Rush;1998-05-13;6;DELANTERO;46;1.83;98.7;
31504515;Branden Webster;1988-06-02;6;DELANTERO;9;2.08;92.24;
31293939;Tiger Robertson;1993-12-11;6;DELANTERO;9;1.82;82.37;
30126929;Fallon Bates;1985-09-04;7;ARQUERO;21;2.07;87.38;
35278833;Shana Jefferson;2003-09-07;7;ARQUERO;13;1.81;95.57;
35316431;Shelly Garrett;1985-08-14;7;DEFENSOR;58;2.06;82.22;
23202471;Mason Puckett;1989-10-24;7;DEFENSOR;62;1.82;99.16;
39280759;Griffin Barnett;1992-05-11;7;DEFENSOR;56;2.07;92.68;
24396512;Mary Guzman;1987-08-10;7;DEFENSOR;58;1.82;89.28;
30336113;Kyra Mccormick;1995-11-07;7;MEDIOCAMPISTA;25;2.07;94.56;
37269730;Noelani Hobbs;1993-04-22;7;MEDIOCAMPISTA;14;1.83;78.2;
31376553;Sonia Pope;1993-05-18;7;MEDIOCAMPISTA;64;2.08;82.56;
25874286;Zane Dean;1991-03-17;7;MEDIOCAMPISTA;1;1.82;96.6;
38758378;Bell Mccormick;1994-03-28;7;MEDIOCAMPISTA;72;2.07;89.02;
30094975;Kristen Gonzales;1998-02-17;7;DELANTERO;71;1.83;98.56;
30827349;Jesse Hurley;1997-03-03;7;DELANTERO;39;2.08;88.76;
40223912;Cole Bowman;1986-01-16;7;DELANTERO;47;1.83;80.58;
24261145;Beck Cohen;1994-12-22;7;DELANTERO;64;2.08;93.47;
36638201;Cadman Clemons;2002-07-08;7;DELANTERO;63;1.84;88.87;
31647440;Gannon Short;1995-06-03;7;DELANTERO;76;2.09;80.52;
32488971;Kimberly Cummings;1990-05-23;7;DELANTERO;30;1.83;76.89;
35872942;Carol Baxter;1992-01-19;8;ARQUERO;70;2.08;86.28;
30226407;Jakeem Hansen;2000-05-26;8;ARQUERO;50;1.82;90.92;
23754311;Sandra Mejia;1985-11-20;8;DEFENSOR;55;2.07;82.62;
23493157;Eric Slater;2004-01-30;8;DEFENSOR;68;1.83;94.73;
30874665;Claudia Zimmerman;1990-01-14;8;DEFENSOR;37;2.08;79.01;
39121534;Sydnee Nash;1999-11-12;8;DEFENSOR;40;1.83;87.88;
36484871;Ulysses Solis;2001-01-26;8;MEDIOCAMPISTA;66;2.08;78.27;
32594785;Dorothy Fleming;2000-07-28;8;MEDIOCAMPISTA;69;1.84;77.31;
39361791;Charissa Osborn;2001-04-23;8;MEDIOCAMPISTA;38;2.09;80.63;
26207985;Dacey Gonzalez;1984-12-24;8;MEDIOCAMPISTA;9;1.83;94.58;
31623236;Gray Riddle;2000-04-22;8;MEDIOCAMPISTA;20;2.08;77.16;
40315616;Raya Hester;1997-12-22;8;DELANTERO;59;1.84;88.94;
30508979;Xavier Bauer;1984-07-23;8;DELANTERO;28;2.09;84.06;
28336927;Reece Wilkins;1991-04-28;8;DELANTERO;52;1.84;95.91;
28333871;Barrett Dunn;1997-08-20;8;DELANTERO;51;2.09;76.6;
39234506;Eleanor Roy;1992-08-08;8;DELANTERO;64;1.85;95.0;
34777622;Alexander Wilkerson;2000-12-31;8;DELANTERO;68;2.10;76.06;
33844827;Tana Barrera;2000-03-24;8;DELANTERO;22;1.84;79.76;
27768770;Dawn Carlson;1993-05-10;9;ARQUERO;40;2.09;93.26;
38289546;Benjamin Hobbs;1985-07-22;9;ARQUERO;76;1.83;98.08;
25811170;Karleigh Small;2003-10-07;9;DEFENSOR;15;2.08;99.52;
26836485;Hiroko Kent;1999-10-22;9;DEFENSOR;59;1.84;87.6;
30459459;Lionel Pruitt;1995-11-01;9;DEFENSOR;46;2.09;91.1;
26507621;Basil Craft;2002-04-23;9;DEFENSOR;10;1.84;84.13;
34546227;Nerea Calhoun;2002-01-10;9;MEDIOCAMPISTA;38;2.09;94.02;
31987739;Irma Forbes;2002-02-03;9;MEDIOCAMPISTA;30;1.85;93.59;
25479496;Signe White;1991-02-17;9;MEDIOCAMPISTA;45;2.10;93.33;
24448397;Thaddeus Gillespie;2004-03-05;9;MEDIOCAMPISTA;56;1.84;94.63;
30442449;Moses Duncan;1994-10-20;9;MEDIOCAMPISTA;49;2.09;98.55;
39734250;Norman Blevins;1987-09-17;9;DELANTERO;36;1.85;88.73;
37080592;Vernon Mccoy;1997-09-07;9;DELANTERO;6;2.10;81.81;
27241944;Ethan Klein;1985-04-03;9;DELANTERO;36;1.85;80.39;
30447170;Thaddeus Alexander;1985-10-24;9;DELANTERO;15;2.10;77.32;
30481397;Signe Horn;2001-03-28;9;DELANTERO;7;1.86;92.56;
36777120;Cooper Morris;1997-09-25;9;DELANTERO;28;2.11;93.26;
24242477;Dillon Black;2001-05-30;9;DELANTERO;52;1.85;78.09;
28357031;Emma Klein;2001-12-05;10;ARQUERO;47;2.10;88.17;
25125591;Mason Bennett;2003-09-25;10;ARQUERO;49;1.84;79.51;
24867417;Peter Beck;1997-01-02;10;DEFENSOR;9;2.09;83.61;
28905687;Karyn Poole;1987-12-15;10;DEFENSOR;53;1.85;93.01;
24696198;Seth Jackson;1997-12-28;10;DEFENSOR;43;2.10;96.94;
31284958;Christopher Gross;1993-02-12;10;DEFENSOR;11;1.85;91.85;
36089931;Maryam Yates;1998-09-22;10;MEDIOCAMPISTA;43;2.10;87.23;
25283137;Felicia Hahn;1991-07-20;10;MEDIOCAMPISTA;67;1.86;94.93;
26506919;Jamal Bond;2003-06-30;10;MEDIOCAMPISTA;29;2.11;94.8;
23850789;Harrison Howell;1984-08-31;10;MEDIOCAMPISTA;46;1.85;87.51;
39275000;Igor Pierce;1993-04-09;10;MEDIOCAMPISTA;66;2.10;93.96;
24387300;Leslie Ball;1994-04-23;10;DELANTERO;55;1.86;75.91;
27305362;Clio Spence;2001-04-14;10;DELANTERO;72;2.11;84.73;
24650623;Kamal Slater;1985-09-25;10;DELANTERO;59;1.86;84.45;
27076652;Walter Horne;1995-12-24;10;DELANTERO;56;2.11;87.31;
26625915;Madaline Villarreal;1987-02-07;10;DELANTERO;45;1.87;76.13;
33384121;Palmer Farmer;1996-08-27;10;DELANTERO;23;2.12;79.57;
27444773;Lillian Mckee;1990-09-07;10;DELANTERO;64;1.86;86.42;
39369816;Chastity Merritt;1998-05-08;11;ARQUERO;45;2.11;99.92;
25613006;Igor Mcdowell;2001-09-27;11;ARQUERO;5;1.85;87.28;
26659470;Barrett Webster;1990-02-26;11;DEFENSOR;31;2.10;93.66;
24970185;Charles Sharp;1991-06-30;11;DEFENSOR;11;1.86;93.2;
35115336;Zoe Spence;1989-07-25;11;DEFENSOR;59;2.11;86.54;
36630196;Kennan Sheppard;1992-11-13;11;DEFENSOR;43;1.86;80.23;
30316235;Akeem Dominguez;2003-11-04;11;MEDIOCAMPISTA;74;2.11;80.49;
32069910;Dai Barry;1993-08-31;11;MEDIOCAMPISTA;25;1.87;82.46;
28255514;Elliott Williams;2004-03-29;11;MEDIOCAMPISTA;53;2.12;83.56;
31908873;Chelsea Hardy;1990-09-24;11;MEDIOCAMPISTA;11;1.86;78.86;
32331928;Lucius Meyer;1988-07-05;11;MEDIOCAMPISTA;28;2.11;95.02;
27093687;Rowan Riley;1985-08-13;11;DELANTERO;26;1.87;88.22;
40493799;Gil Cooke;1989-10-14;11;DELANTERO;51;2.12;88.11;
29649739;Nasim Moody;1993-12-22;11;DELANTERO;38;1.87;79.42;
32013274;Leonard Maldonado;1987-09-02;11;DELANTERO;60;2.12;91.4;
35223762;Irene Norton;1987-06-27;11;DELANTERO;3;1.88;81.71;
26058984;Caleb Garrison;1999-06-05;11;DELANTERO;52;2.13;91.7;
29925645;Jane Grant;1995-02-16;11;DELANTERO;4;1.87;76.12;
29876184;Magee Beard;1991-08-17;12;ARQUERO;33;2.12;80.08;
23921328;Nell Jenkins;1998-05-23;12;ARQUERO;15;1.86;76.58;
23257144;Briar Lancaster;2001-04-25;12;DEFENSOR;51;2.11;75.78;
33815953;Kim Barnett;1986-03-28;12;DEFENSOR;1;1.87;82.59;
38568618;Breanna Becker;2004-04-04;12;DEFENSOR;5;2.12;87.78;
41605203;Raja Gould;1998-08-04;12;DEFENSOR;7;1.87;80.72;
33096743;Barry Moss;1999-01-02;12;MEDIOCAMPISTA;78;2.12;86.13;
31607629;Dieter Gutierrez;1999-04-19;12;MEDIOCAMPISTA;54;1.88;81.79;
24855641;Orli Bryan;1997-08-20;12;MEDIOCAMPISTA;30;2.13;85.98;
40587392;Charissa Schroeder;1989-05-04;12;MEDIOCAMPISTA;2;1.87;90.69;
23419299;Adara Morgan;1999-11-27;12;MEDIOCAMPISTA;21;2.12;95.44;
24821136;Vance Conley;1991-01-05;12;DELANTERO;66;1.88;98.64;
24654706;Harriet Lynn;1994-04-24;12;DELANTERO;51;2.13;91.85;
35635798;Elliott Tran;1990-11-15;12;DELANTERO;22;1.88;76.02;
35737662;Jessamine Mclaughlin;1989-10-29;12;DELANTERO;26;2.13;91.01;
26832669;Abigail Mccarty;1994-12-16;12;DELANTERO;49;1.89;75.96;
41695497;Phelan Hendrix;1990-09-14;12;DELANTERO;6;2.14;83.99;
39840447;Hedda Edwards;2001-06-21;12;DELANTERO;37;1.88;92.55;
24976682;Ursula Bradley;1999-04-29;13;ARQUERO;35;2.13;75.73;
28029549;Ayanna Talley;1990-04-05;13;ARQUERO;6;1.87;93.5;
35137447;Roanna Delacruz;1990-05-30;13;DEFENSOR;75;2.12;91.49;
34080835;Eleanor Rollins;1997-10-07;13;DEFENSOR;32;1.88;95.01;
26546446;Malcolm Tanner;1992-07-29;13;DEFENSOR;24;2.13;82.65;
31147263;Abra Roman;1992-12-20;13;DEFENSOR;32;1.88;80.94;
40152823;Rylee Harris;1998-02-27;13;MEDIOCAMPISTA;33;2.13;98.41;
27562131;Rae Underwood;1995-10-10;13;MEDIOCAMPISTA;14;1.89;76.32;
41796270;Blake Mcdaniel;1986-10-11;13;MEDIOCAMPISTA;26;2.14;93.4;
35439632;Lesley Anderson;1996-11-03;13;MEDIOCAMPISTA;71;1.88;89.19;
28596904;Joy Cross;2002-07-26;13;MEDIOCAMPISTA;29;2.13;82.82;
30936424;Knox Combs;2002-11-23;13;DELANTERO;53;1.89;98.77;
27700015;Shaine Jennings;2002-05-20;13;DELANTERO;66;2.14;80.05;
41425973;Tyrone Sandoval;1990-11-21;13;DELANTERO;66;1.89;96.35;
24588031;Ethan Villarreal;1992-08-04;13;DELANTERO;6;2.14;94.4;
40994498;Cherokee Sweet;1989-11-09;13;DELANTERO;3;1.90;99.54;
41679943;Blake Payne;2000-01-13;13;DELANTERO;54;2.15;86.91;
41565256;Isabella Lancaster;1988-10-25;13;DELANTERO;61;1.89;82.97;
30475697;Keely Key;1984-06-01;14;ARQUERO;35;2.15;92.84;
39283896;Lydia Taylor;1990-06-25;14;ARQUERO;14;1.89;98.78;
41309436;Sybil Phelps;1996-09-15;14;DEFENSOR;23;2.14;91.12;
23317050;Nehru Schmidt;2000-04-23;14;DEFENSOR;22;1.90;77.96;
29900343;Rajah Dalton;1997-01-24;14;DEFENSOR;4;2.15;90.75;
23655818;Dillon Elliott;1988-01-09;14;DEFENSOR;49;1.90;78.6;
30693761;Lucius Hess;1999-05-18;14;MEDIOCAMPISTA;55;2.15;91.68;
26947529;Honorato Winters;1997-06-08;14;MEDIOCAMPISTA;73;1.91;99.59;
41545996;Dora Orr;1998-09-08;14;MEDIOCAMPISTA;28;2.16;93.65;
31221415;Evangeline Small;1995-12-05;14;MEDIOCAMPISTA;68;1.90;95.52;
25393359;Armand Combs;1985-09-09;14;MEDIOCAMPISTA;10;2.15;80.53;
27537913;Quon Haynes;1984-09-10;14;DELANTERO;57;1.89;90.03;
24987879;Nina Woods;1999-12-02;14;DELANTERO;68;2.14;76.0;
31133056;Sydnee Bates;1992-12-02;14;DELANTERO;78;1.90;93.17;
36341590;Lev Sullivan;1992-08-25;14;DELANTERO;13;2.15;90.93;
30551664;Quynn Meadows;2002-01-02;14;DELANTERO;54;1.90;79.34;
26473174;MacKensie Rasmussen;1985-07-18;14;DELANTERO;45;2.15;76.73;
35617461;Gavin Burch;1989-02-04;14;DELANTERO;72;1.91;75.02;
29972515;Lane Velasquez;2003-09-13;15;ARQUERO;23;2.16;84.27;
40430143;Sean Parrish;2000-04-24;15;ARQUERO;18;1.90;99.06;
24723599;Madison Young;2000-09-24;15;DEFENSOR;4;2.15;77.73;
41977112;Jaime Lowery;2004-01-18;15;DEFENSOR;69;1.91;85.39;
23725322;Perry Branch;2004-03-05;15;DEFENSOR;7;2.16;96.88;
38238577;Warren Carson;1990-06-14;15;DEFENSOR;12;1.91;85.22;
30830390;Martha Moses;1993-12-18;15;MEDIOCAMPISTA;35;2.16;75.51;
41437974;Jolene Duran;1995-09-07;15;MEDIOCAMPISTA;71;1.92;87.36;
25207753;Tanek O'brien;1985-12-16;15;MEDIOCAMPISTA;75;2.17;96.28;
36042252;Hunter Oneal;2000-08-26;15;MEDIOCAMPISTA;33;1.91;82.61;
27188217;Ulric Payne;1989-05-06;15;MEDIOCAMPISTA;41;2.16;86.86;
25404994;Pascale Kline;2001-06-23;15;DELANTERO;22;1.90;95.26;
38339782;Jeremy Velazquez;2002-12-22;15;DELANTERO;75;2.15;93.61;
41499483;Rigel Schneider;1987-10-20;15;DELANTERO;60;1.91;83.43;
29837444;Davis Randolph;1991-08-17;15;DELANTERO;57;2.16;93.75;
39967727;McKenzie Gordon;1997-11-09;15;DELANTERO;70;1.91;82.14;
36464928;Deborah Clements;1993-01-06;15;DELANTERO;49;2.16;85.7;
34532057;Thaddeus Ochoa;1986-01-09;15;DELANTERO;64;1.92;87.81;
39676781;Natalie Combs;1987-10-27;15;MEDIOCAMPISTA;13;2.17;88.5;
26333854;Judah Stanley;1986-01-09;15;MEDIOCAMPISTA;65;1.91;94.49;
33893392;Lewis Ingram;1994-12-31;16;ARQUERO;6;2.16;80.31;
35464771;Amber Freeman;1993-12-06;16;ARQUERO;16;1.92;96.51;
37065344;Ivan Meyer;1996-07-13;16;DEFENSOR;27;2.17;95.39;
33469038;Shannon Nunez;2001-04-04;16;DEFENSOR;73;1.92;94.94;
27236747;Miranda Stuart;1993-10-16;16;DEFENSOR;31;2.17;83.53;
38016474;Miriam Mccall;2004-02-26;16;DEFENSOR;70;1.93;94.32;
23129348;Jorden Moody;2001-07-18;16;MEDIOCAMPISTA;61;2.18;80.5;
34233788;Rajah Herman;1989-01-18;16;MEDIOCAMPISTA;5;1.92;89.58;
29314052;Cheryl Puckett;1995-12-09;16;MEDIOCAMPISTA;17;2.17;79.06;
33073266;Duncan Conway;2003-03-20;16;MEDIOCAMPISTA;52;1.91;86.61;
39649356;Whilemina Clarke;1988-08-06;16;MEDIOCAMPISTA;74;2.16;85.83;
33285641;Madeline Sweet;1999-04-10;16;DELANTERO;49;1.92;83.93;
38586949;Justina Duke;1994-07-08;16;DELANTERO;64;1.91;94.94;
38067576;Hop Roach;1990-12-07;16;DELANTERO;13;2.16;83.53;
27496923;Macaulay Salazar;1991-02-12;16;DELANTERO;65;1.92;94.32;
32190870;Bert Roberts;1985-10-08;16;DELANTERO;6;2.17;80.5;
33398661;Ira Lawrence;2000-10-23;16;DELANTERO;16;1.91;89.58;
24163715;Uta Thompson;1984-11-23;16;DELANTERO;27;2.16;79.06;
26579729;Stacy Franks;1987-07-29;16;DELANTERO;73;1.90;86.61;
30281069;Elmo Aguirre;1998-09-22;16;DEFENSOR;31;2.15;85.83;
23202471;Mason Puckett;1989-10-24;17;ARQUERO;77;1.75;96.42;
39280759;Griffin Barnett;1992-05-11;17;ARQUERO;44;2.00;77.12;
24396512;Mary Guzman;1987-08-10;17;DEFENSOR;2;1.76;91.75;
30336113;Kyra Mccormick;1995-11-07;17;DEFENSOR;22;2.01;94.7;
37269730;Noelani Hobbs;1993-04-22;17;DEFENSOR;28;1.76;84.91;
31376553;Sonia Pope;1993-05-18;17;DEFENSOR;75;2.01;92.93;
25874286;Zane Dean;1991-03-17;17;MEDIOCAMPISTA;14;1.77;86.93;
38758378;Bell Mccormick;1994-03-28;17;MEDIOCAMPISTA;58;2.02;96.57;
30094975;Kristen Gonzales;1998-02-17;17;MEDIOCAMPISTA;38;1.76;98.13;
30827349;Jesse Hurley;1997-03-03;17;MEDIOCAMPISTA;9;2.01;90.85;
40223912;Cole Bowman;1986-01-16;17;MEDIOCAMPISTA;4;1.77;89.63;
24261145;Beck Cohen;1994-12-22;17;DELANTERO;30;2.02;87.67;
36638201;Cadman Clemons;2002-07-08;17;DELANTERO;64;1.77;93.65;
31647440;Gannon Short;1995-06-03;17;DELANTERO;21;2.02;75.6;
32488971;Kimberly Cummings;1990-05-23;17;DELANTERO;42;1.78;95.21;
29830187;Hiram Rose;1999-02-10;17;DELANTERO;41;2.03;98.14;
25362776;Sage Stanton;1985-11-17;17;DELANTERO;77;1.77;81.72;
31843218;Brielle Ramirez;1993-12-22;18;DELANTERO;31;2.02;94.48;
37160199;Mary Keller;1985-04-21;18;ARQUERO;78;1.76;91.88;
26197156;Trevor Barber;2003-09-17;18;ARQUERO;21;2.01;77.03;
35872942;Carol Baxter;1992-01-19;18;DEFENSOR;22;1.77;93.96;
30226407;Jakeem Hansen;2000-05-26;18;DEFENSOR;45;2.02;80.25;
23754311;Sandra Mejia;1985-11-20;18;DEFENSOR;56;1.77;78.54;
23493157;Eric Slater;2004-01-30;18;DEFENSOR;28;2.02;81.92;
30874665;Claudia Zimmerman;1990-01-14;18;MEDIOCAMPISTA;62;1.78;83.9;
39121534;Sydnee Nash;1999-11-12;18;MEDIOCAMPISTA;73;2.03;80.29;
36484871;Ulysses Solis;2001-01-26;18;MEDIOCAMPISTA;61;1.77;91.26;
32594785;Dorothy Fleming;2000-07-28;18;MEDIOCAMPISTA;1;2.02;77.56;
39361791;Charissa Osborn;2001-04-23;18;MEDIOCAMPISTA;76;1.78;77.5;
26207985;Dacey Gonzalez;1984-12-24;18;DELANTERO;25;2.03;94.08;
31623236;Gray Riddle;2000-04-22;18;DELANTERO;49;1.78;95.45;
40315616;Raya Hester;1997-12-22;18;DELANTERO;75;2.03;87.8;
30508979;Xavier Bauer;1984-07-23;18;DELANTERO;71;1.79;85.57;
28336927;Reece Wilkins;1991-04-28;19;DELANTERO;27;2.04;89.04;
28333871;Barrett Dunn;1997-08-20;19;DELANTERO;49;1.78;76.67;
39234506;Eleanor Roy;1992-08-08;19;ARQUERO;54;2.03;86.91;
34777622;Alexander Wilkerson;2000-12-31;19;ARQUERO;38;1.77;81.54;
33844827;Tana Barrera;2000-03-24;19;DEFENSOR;71;2.02;84.01;
33803099;Mohammad Logan;1993-07-07;19;DEFENSOR;23;1.78;75.49;
25544620;Honorato Mcpherson;1986-01-18;19;DEFENSOR;9;2.03;76.9;
27768770;Dawn Carlson;1993-05-10;19;DEFENSOR;19;1.78;98.78;
38289546;Benjamin Hobbs;1985-07-22;19;MEDIOCAMPISTA;64;2.03;94.62;
25811170;Karleigh Small;2003-10-07;19;MEDIOCAMPISTA;18;1.79;88.25;
